# ENERGY SUPPLY GROUP 28,
# Wind park in Luxemburg with 140 turbines.,
#,
# time [s], power [MW]
0,0
900,0
1800,0
2700,0
3600,0
4500,0
5400,0
6300,0
7200,0
8100,0
9000,0
9900,0
10800,0
11700,0
12600,0
13500,0
14400,0
15300,0
16200,0
17100,0
18000,0
18900,0
19800,0
20700,0
21600,0
22500,0
23400,0
24300,0
25200,0
26100,0
27000,0
27900,2.307419
28800,2.307419
29700,7.388537
30600,10.172157
31500,13.12443
32400,19.554781
33300,23.042779
34200,26.719273
35100,26.719273
36000,30.589223
36900,34.657589
37800,38.929333
38700,38.929333
39600,43.409414
40500,43.409414
41400,43.409414
42300,43.409414
43200,38.929333
44100,38.929333
45000,38.929333
45900,38.929333
46800,38.929333
47700,38.929333
48600,38.929333
49500,43.409414
50400,43.409414
51300,38.929333
52200,38.929333
53100,38.929333
54000,38.929333
54900,38.929333
55800,34.657589
56700,34.657589
57600,34.657589
58500,34.657589
59400,38.929333
60300,38.929333
61200,38.929333
62100,38.929333
63000,38.929333
63900,38.929333
64800,38.929333
65700,43.409414
66600,43.409414
67500,43.409414
68400,43.409414
69300,43.409414
70200,43.409414
71100,48.102793
72000,48.102793
72900,43.409414
73800,43.409414
74700,43.409414
75600,38.929333
76500,38.929333
77400,34.657589
78300,34.657589
79200,34.657589
80100,30.589223
81000,30.589223
81900,26.719273
82800,26.719273
83700,26.719273
84600,26.719273
85500,26.719273
86400,30.589223
87300,30.589223
88200,30.589223
89100,30.589223
90000,30.589223
90900,26.719273
91800,23.042779
92700,19.554781
93600,16.250318
94500,16.250318
95400,13.12443
96300,13.12443
97200,10.172157
98100,10.172157
99000,13.12443
99900,13.12443
100800,13.12443
101700,13.12443
102600,13.12443
103500,16.250318
104400,16.250318
105300,16.250318
106200,16.250318
107100,16.250318
108000,13.12443
108900,13.12443
109800,13.12443
110700,13.12443
111600,13.12443
112500,16.250318
113400,23.042779
114300,26.719273
115200,30.589223
116100,38.929333
117000,43.409414
117900,53.01443
118800,58.149286
119700,63.51232
120600,63.51232
121500,69.108495
122400,74.942769
123300,81.020103
124200,87.345458
125100,93.923795
126000,100.760073
126900,100.760073
127800,100.760073
128700,100.760073
129600,100.760073
130500,93.923795
131400,87.345458
132300,81.020103
133200,74.942769
134100,58.149286
135000,48.102793
135900,38.929333
136800,26.719273
137700,16.250318
138600,10.172157
139500,2.307419
140400,0
141300,0
142200,0
143100,0
144000,0
144900,0
145800,0
146700,0
147600,0
148500,0
149400,0
150300,0
151200,0
152100,0
153000,0
153900,0
154800,0
155700,0
156600,0
157500,0
158400,0
159300,0
160200,0
161100,0
162000,0
162900,0
163800,0
164700,0
165600,0
166500,0
167400,0
168300,0
169200,0
170100,0
171000,0
171900,0
172800,0
173700,0
174600,0
175500,0
176400,0
177300,0
178200,0
179100,0
180000,0
180900,0
181800,0
182700,0
183600,0
184500,0
185400,0
186300,0
187200,0
188100,0
189000,0
189900,0
190800,0
191700,0
192600,0
193500,0
194400,0
195300,0
196200,0
197100,0
198000,0
198900,0
199800,0
200700,0
201600,0
202500,0
203400,0
204300,0
205200,0
206100,0
207000,0
207900,0
208800,2.307419
209700,4.768612
210600,7.388537
211500,7.388537
212400,10.172157
213300,13.12443
214200,13.12443
215100,16.250318
216000,16.250318
216900,13.12443
217800,10.172157
218700,7.388537
219600,7.388537
220500,0
221400,0
222300,0
223200,0
224100,0
225000,0
225900,0
226800,0
227700,0
228600,0
229500,0
230400,0
231300,0
232200,0
233100,0
234000,0
234900,0
235800,0
236700,0
237600,0
238500,0
239400,0
240300,0
241200,0
242100,0
243000,0
243900,0
244800,0
245700,0
246600,0
247500,0
248400,0
249300,0
250200,0
251100,0
252000,0
252900,0
253800,0
254700,0
255600,0
256500,0
257400,0
258300,0
259200,0
260100,0
261000,0
261900,0
262800,0
263700,0
264600,0
265500,0
266400,0
267300,0
268200,0
269100,0
270000,0
270900,0
271800,0
272700,0
273600,0
274500,0
275400,0
276300,0
277200,0
278100,0
279000,0
279900,0
280800,0
281700,0
282600,0
283500,0
284400,0
285300,0
286200,0
287100,0
288000,0
288900,0
289800,0
290700,0
291600,0
292500,0
293400,0
294300,0
295200,0
296100,0
297000,0
297900,0
298800,0
299700,0
300600,0
301500,0
302400,4.768612
303300,4.768612
304200,4.768612
305100,4.768612
306000,4.768612
306900,0
307800,0
308700,0
309600,0
310500,0
311400,0
312300,0
313200,0
314100,0
315000,0
315900,0
316800,0
317700,0
318600,0
319500,0
320400,0
321300,0
322200,0
323100,0
324000,0
324900,2.307419
325800,4.768612
326700,4.768612
327600,7.388537
328500,7.388537
329400,4.768612
330300,4.768612
331200,4.768612
332100,4.768612
333000,2.307419
333900,2.307419
334800,2.307419
335700,2.307419
336600,2.307419
337500,2.307419
338400,2.307419
339300,2.307419
340200,4.768612
341100,4.768612
342000,4.768612
342900,4.768612
343800,4.768612
344700,4.768612
345600,2.307419
346500,2.307419
347400,2.307419
348300,2.307419
349200,0
350100,0
351000,0
351900,0
352800,0
353700,2.307419
354600,4.768612
355500,4.768612
356400,7.388537
357300,7.388537
358200,10.172157
359100,13.12443
360000,13.12443
360900,16.250318
361800,16.250318
362700,16.250318
363600,19.554781
364500,19.554781
365400,19.554781
366300,16.250318
367200,16.250318
368100,19.554781
369000,19.554781
369900,19.554781
370800,23.042779
371700,26.719273
372600,30.589223
373500,34.657589
374400,43.409414
375300,43.409414
376200,48.102793
377100,53.01443
378000,58.149286
378900,58.149286
379800,63.51232
380700,69.108495
381600,74.942769
382500,74.942769
383400,74.942769
384300,81.020103
385200,81.020103
386100,81.020103
387000,81.020103
387900,87.345458
388800,87.345458
389700,87.345458
390600,81.020103
391500,81.020103
392400,74.942769
393300,74.942769
394200,81.020103
395100,81.020103
396000,81.020103
396900,74.942769
397800,74.942769
398700,74.942769
399600,74.942769
400500,74.942769
401400,74.942769
402300,69.108495
403200,69.108495
404100,69.108495
405000,63.51232
405900,63.51232
406800,58.149286
407700,58.149286
408600,58.149286
409500,53.01443
410400,53.01443
411300,53.01443
412200,53.01443
413100,53.01443
414000,53.01443
414900,48.102793
415800,48.102793
416700,48.102793
417600,48.102793
418500,43.409414
419400,43.409414
420300,43.409414
421200,43.409414
422100,38.929333
423000,38.929333
423900,38.929333
424800,38.929333
425700,38.929333
426600,38.929333
427500,38.929333
428400,34.657589
429300,34.657589
430200,34.657589
431100,34.657589
432000,34.657589
432900,34.657589
433800,30.589223
434700,30.589223
435600,30.589223
436500,30.589223
437400,30.589223
438300,26.719273
439200,26.719273
